supplier_name,legal_entity,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,workers_committee_or_union
Abbey Marketing Communications Ltd,Abbey Marketing Communications ltd,Dunmow,[blank],[blank],Unit 4 Oak Industrial Park,Great Dunmow,[blank],"Great Dunmow, Essex, CM6 1XN",United Kingdom,Goods not for retail,20,45,55,No
Belmont Press Ltd.,[blank],Belmont Press Factory Site,[blank],[blank],Barn Way,Lodge Farm Industrial Estate,[blank],"Northampton, NN5 7UW",United Kingdom,Goods not for retail,91,24,76,No
Delta Display Ltd,Delta Display Ltd,D25,[blank],[blank],"Unit 25, I.O. Centre",Lea Rd,[blank],"Waltham Cross, EN9 1AS",United Kingdom,Goods not for retail,417,37,63,No
Delta Display Ltd,Delta Display Ltd,Melksham,[blank],[blank],Hercules Way,Bowerhill,[blank],"Melksham, Wiltshire, SN12 6TS",United Kingdom,Goods not for retail,115,43,57,No
Delta Display Ltd,Delta Ireland,Dublin,[blank],[blank],Delta House,Swords Business Park,Greenfields,"Swords, K67 HN56",Ireland,Goods not for retail,30,30,70,No
Delta Display Ltd,Odessa Print Group,Biggin Hill,[blank],[blank],Unit 14 Airport Industrial Estate,Biggin Hill,[blank],"Westerham, TN16 3PS",United Kingdom,Goods not for retail,27,15,85,No
Delta Display Ltd,Odessa Print Group,Penge,[blank],[blank],Oakfield Road Industrial Estate,Oakfield Rd,[blank],"London, SE20 8RA",United Kingdom,Goods not for retail,16,0,100,No
Delta Display Ltd,Various,Home / Client Based,[blank],[blank],[blank],[blank],[blank],[blank],United Kingdom,Goods not for retail,27,44,56,No
George Utz Ltd,George Utz Ltd,Alfreton,[blank],[blank],Grange Close,Clover Nook Industrial Estate,[blank],"Alfreton, DE55 4QT",United Kingdom,Goods not for retail,100,26,74,No
GK Signs & Screenprint Ltd,GK Signs & Screenprint Ltd,Rugby,[blank],[blank],180B Wood Street,[blank],[blank],"Rugby, CV21 2YX",United Kingdom,Goods not for retail,17,23,77,No
GK Signs & Screenprint Ltd,GK Signs & Screenprint Ltd,Alton,[blank],[blank],Unit 25 Mill Lane Industrial Estate,Caker Stream Road,[blank],"Alton, GU34 2QA",United Kingdom,Goods not for retail,24,17,83,No
Go Inspire - Eclipse,Go Inspire Group Ltd,Kettering,[blank],[blank],Riley Road,Kettering,[blank],"Kettering, NN16 8NN",United Kingdom,Goods not for retail,149,25,75,No
Go Inspire - Solutions,Go Inspire Group Ltd,Leicester,[blank],[blank],147 Scudamore Road,Leicester,[blank],"Leicester, LE3 1UQ",United Kingdom,Goods not for retail,282,30,70,No
SMP Group plc,n/a,n/a,[blank],[blank],2 Swan Road,Woolwich,[blank],"London, SE18 5TT",United Kingdom,Goods not for retail,182,30,70,No
Wanzl Ltd,Wanzl Ltd,Warwick,[blank],[blank],"Europa House, Heathcote Lane",[blank],[blank],"Warwick, CV34 6SP",United Kingdom,Goods not for retail,105,10,91,No
Wanzl Ltd,Wanzl Ltd,Tibshelf,[blank],[blank],Saw Pit Lane Industrial Estatie,[blank],[blank],"Tibshelf, DE55 5NQ",United Kingdom,Goods not for retail,38,5,95,No
Wanzl Ltd,Wanzl Ltd,Witham,[blank],[blank],4 Stepfield,[blank],[blank],"Witham, CM8 3TH",United Kingdom,Goods not for retail,9,78,22,No
Wanzl Ltd,Wanzl Ltd,Lisburn,[blank],[blank],14 Ballyclough Road,[blank],Northern Ireland,"Lisburn, BT28 3UY",United Kingdom,Goods not for retail,6,17,83,No
Precision Printing Company trading as Precision Proco,Precision Printing Company trading as Precision Proco,Precision Proco,[blank],[blank],9 Parkway Close,Parkway Ind Est.,Parkway Close,"Sheffield, S9 4WJ",United Kingdom,Goods not for retail,160,30,70,No
Octink,Octink a Trading Division of Service Graphics Limited,Brentford,[blank],[blank],Crown House,30 Commerce Road,[blank],"Brentford, TW8 8LE",United Kingdom,Goods not for retail,51,19,81,No
Augustus Martin Ltd,Augustus Martin Ltd,[blank],[blank],[blank],8-20 St Andrews Way,Bow,[blank],"London, E3 3PB",United Kingdom,Goods not for retail,218,15,85,Yes
Easi-bind International Limited,Easi-bind International Limited,Heanor,[blank],[blank],Adams Close,Heanor Gate Industrial Park,Heanor,"Derby, DE75 7SW",United Kingdom,Goods not for retail,75,29,71,Yes
Easi-bind International Limited,Easi-bind International Limited,Langley Mill,[blank],[blank],Amber Drive,Bailey Brook Industrial Estate,Langley Mill,"Derby, NG16 4BE",United Kingdom,Goods not for retail,6,67,33,Yes
MAN Truck and Bus UK,MAN SE,MAN Munich,[blank],[blank],[blank],[blank],[blank],Munich,Germany,Goods not for retail,7912,17,83,Yes
MAN Truck and Bus UK,MAN SE,MAN Nuremburg,[blank],[blank],[blank],[blank],[blank],Nuremburg,Germany,Goods not for retail,3105,8,92,Yes
MAN Truck and Bus UK,MAN SE,MAN Salzgitter,[blank],[blank],[blank],[blank],[blank],Salzgitter,Germany,Goods not for retail,1939,14,86,Yes
MAN Truck and Bus UK,MAN SE,MAN Starachowice,[blank],[blank],[blank],[blank],[blank],Starachowice,Poland,Goods not for retail,2858,16,84,Yes
MAN Truck and Bus UK,MAN SE,MAN Crakow,[blank],[blank],[blank],[blank],[blank],Crakow,Poland,Goods not for retail,2217,13,87,Yes
Paragon Customer Communications (London) Ltd,Paragon Customer Communications (London) Ltd,Bristol,[blank],[blank],1 Hawkley Drive,Bradley Stoke,[blank],"Bristol, BS32 0GE",United Kingdom,Goods not for retail,285,37,63,Yes
Paragon Customer Communications (London) Ltd,Paragon Customer Communications (London) Ltd,Nottingham,[blank],[blank],Oddicroft Lane,Sutton Parkway,Sutton in Ashfield,"Nottingham, NG17 5FB",United Kingdom,Goods not for retail,234,21,79,Yes
Paragon Customer Communications (London) Ltd,Paragon Customer Communications (London) Ltd,London Park House,[blank],[blank],Park House,16-18 Finsbury Circus,[blank],"London, EC2M 7EB",United Kingdom,Goods not for retail,161,39,61,Yes
Paragon Customer Communications (London) Ltd,Paragon Customer Communications (London) Ltd,Peterbrough,[blank],[blank],41-44 Stapleton Road,Orton Southgate,[blank],"Peterborough, PE2 6TH",United Kingdom,Goods not for retail,128,45,55,Yes
Walstead Press Group Limited,Walstead Bicester Limited,Chaucer Business Park,[blank],[blank],Launton Road,[blank],[blank],"Bicester, OX26 4QZ",United Kingdom,Goods not for retail,186,15,85,Yes
Walstead Press Group Limited,Walstead Binders t/a Walstead Heron Limited,3 Boston Road,[blank],[blank],Gorse Hill Industrial Estate,[blank],[blank],"Leicester, LE1 1AQ",United Kingdom,Goods not for retail,31,6,94,Yes
Walstead Press Group Limited,Walstead Peterborough Limited,[blank],[blank],[blank],Storeys Bar Road,[blank],[blank],"Peterborough, PE1 5YS",United Kingdom,Goods not for retail,165,16,84,Yes
Walstead Press Group Limited,Rhapsody Limited,The Frames,[blank],[blank],2nd Floor,1 Phipp Street,[blank],"London, EC2A 4PS",United Kingdom,Goods not for retail,34,18,82,Yes
Walstead Press Group Limited,Walstead Roche Limited,Victoria Business Park,[blank],[blank],Roche,[blank],[blank],"St Austell, PL26 8LX",United Kingdom,Goods not for retail,185,16,84,Yes
Walstead Press Group Limited,Walstead York Limited,Airfield Business Park,[blank],[blank],Brinkworth Rush,Elvington,[blank],"York, YO41 4AU",United Kingdom,Goods not for retail,52,6,94,Yes
Wanzl GmbH & Co KGaA,Wanzl GmbH & Co KGaA,Factory 2 - Leipheim,[blank],[blank],Bahnhofstraﬂe 11A,[blank],[blank],Leipheim,Germany,Goods not for retail,325,10,90,Yes
Wanzl GmbH & Co KGaA,Wanzl GmbH & Co KGaA,Factory 3 - Kirchheim,[blank],[blank],Hasbergerstraﬂe 13,[blank],[blank],Kirchheim,Germany,Goods not for retail,560,8,92,Yes
Wanzl GmbH & Co KGaA,Wanzl GmbH & Co KGaA,Factory 4 - Leipheim,[blank],[blank],Rudolf-Wanzl-Straﬂe 4,[blank],[blank],Leipheim,Germany,Goods not for retail,968,28,72,Yes
Wanzl spol. R r.o.,Wanzl spol. R r.o.,Czech Republic,[blank],[blank],Hn?votÌn 333,[blank],[blank],Hn?votÌn,Czech Republic,Goods not for retail,339,17,83,Yes
